Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,6280
design__instance__area,40217.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,15
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.007095677312463522
power__switching__total,0.00927314069122076
power__leakage__total,4.345996273968922E-8
power__total,0.016368860378861427
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2970222207813994
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.4758159556594675
timing__hold__ws__corner:nom_tt_025C_1v80,0.33355319450586135
timing__setup__ws__corner:nom_tt_025C_1v80,11.990722532054638
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.333553
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,11.990723
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,27
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,15
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3257164352647255
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.6490853593886401
timing__hold__ws__corner:nom_ss_100C_1v60,0.8932379533304415
timing__setup__ws__corner:nom_ss_100C_1v60,2.263254536732229
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.893238
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.263255
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,15
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.28586248066685327
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.40500676181352274
timing__hold__ws__corner:nom_ff_n40C_1v95,0.13042051141536898
timing__setup__ws__corner:nom_ff_n40C_1v95,15.6886170717445
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.130421
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,15.688617
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,27
design__max_fanout_violation__count,15
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.28145045424221227
clock__skew__worst_setup,0.3997662314333235
timing__hold__ws,0.1276520036917137
timing__setup__ws,1.8901396538479942
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.127652
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.890140
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 314.98 325.7
design__core__bbox,5.52 10.88 309.12 312.8
design__io,70
design__die__area,102589
design__core__area,91662.9
design__instance__count__stdcell,6280
design__instance__area__stdcell,40217.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.438752
design__instance__utilization__stdcell,0.438752
design__instance__count__class:inverter,67
design__instance__count__class:sequential_cell,221
design__instance__count__class:multi_input_combinational_cell,4184
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,6807
design__instance__count__class:tap_cell,1299
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,68
design__io__hpwl,5474115
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,112745
design__violations,0
design__instance__count__class:timing_repair_buffer,456
design__instance__count__class:clock_buffer,25
design__instance__count__class:clock_inverter,21
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,51
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,7
design__instance__count__class:antenna_cell,7
route__net,4988
route__net__special,2
route__drc_errors__iter:1,2068
route__wirelength__iter:1,123155
route__drc_errors__iter:2,1221
route__wirelength__iter:2,122375
route__drc_errors__iter:3,1016
route__wirelength__iter:3,122308
route__drc_errors__iter:4,85
route__wirelength__iter:4,122116
route__drc_errors__iter:5,0
route__wirelength__iter:5,122138
route__drc_errors,0
route__wirelength,122138
route__vias,35609
route__vias__singlecut,35609
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,629.92
timing__unannotated_net__count__corner:nom_tt_025C_1v80,21
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,21
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,21
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,15
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2909856604700307
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.46840543880511576
timing__hold__ws__corner:min_tt_025C_1v80,0.32903081190945155
timing__setup__ws__corner:min_tt_025C_1v80,12.178531416925505
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
