net,length_um
clknet_0_clk,723.99µm
net2,532.235µm
net388,526.05µm
clknet_3_4__leaf_clk,467.46µm
net252,457.4µm
net240,455.85µm
net224,453.24µm
net244,449.76µm
net285,449.52µm
net830,442.21µm
net236,440.14µm
clknet_3_2__leaf_clk,433.96µm
clknet_3_7__leaf_clk,429.98µm
net232,414.56µm
clknet_3_5__leaf_clk,409.84µm
clknet_3_3__leaf_clk,404.66µm
net255,396.82µm
net247,391.65µm
net219,383.24µm
clk,382.65µm
clknet_3_6__leaf_clk,374.54µm
net228,373.89µm
net728,373.57µm
net716,373.22µm
net207,370.03µm
net708,369.51µm
net754,368.48µm
net259,366.61µm
net624,364.31µm
net318,363.5µm
net792,363.44µm
net265,361.38µm
net771,359.43µm
net322,357.09µm
net261,355.6µm
net269,345.44µm
net772,341.56µm
net282,338.03µm
net253,337.09µm
net737,333.18µm
net257,320.8µm
_01107_,319.77µm
net683,317.39µm
net616,316.7µm
net241,313.33µm
net700,308.71µm
net237,306.35µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[31\],306.26µm
_00001_,306.14µm
net218,305.29µm
net221,302.08µm
net217,301.825µm
_00003_,300.93µm
net256,300.82µm
net267,300.48µm
net209,299.78µm
net235,297.74µm
net239,296.635µm
net271,295.715µm
net231,295.065µm
clknet_3_0__leaf_clk,291.97µm
net263,290.13µm
_00000_,289.09µm
net245,288.9µm
net246,286.26µm
net251,285.8µm
net249,285.7µm
net210,284.79µm
net233,284.04µm
net272,282.75µm
net632,281.46µm
net396,280.9µm
net227,279.88µm
u_interface.u_gelu_fp32.u_synth_top.s2_m\[13\],275.41µm
net223,275.04µm
net732,273.07µm
clknet_3_1__leaf_clk,272.02µm
net319,271.6µm
net268,271.45µm
net264,270.865µm
net220,267.57µm
net284,266.9µm
u_interface.u_gelu_fp32.u_synth_top.s2_m\[8\],266.6µm
net316,266.25µm
net258,262.9µm
net254,262.86µm
net733,262.53µm
net260,260.44µm
net242,255.5µm
net229,255.36µm
net243,252.33µm
net822,251.275µm
net320,251.2µm
_01507_,249.35µm
_01503_,249.27µm
net323,247.44µm
net509,244.97µm
net437,244.69µm
net725,244.64µm
net727,243.18µm
u_interface.u_gelu_fp32.u_synth_top.s2_m\[9\],237.01µm
net159,234.58µm
_01525_,234.46µm
net657,234.4µm
net248,233.39µm
_01505_,232.72µm
net504,232.46µm
net225,231.4µm
net739,231.29µm
_01513_,229.91µm
net756,226.1µm
net270,225.54µm
_01514_,224.27µm
net779,221.8µm
net197,221.76µm
net238,221.58µm
_01108_,221.17µm
net409,219.84µm
net222,218.69µm
net735,218.07µm
net780,217.04µm
net317,215.35µm
net731,215.2µm
net387,214.54µm
net234,214.34µm
net773,212.56µm
net608,212.09µm
_01519_,211.52µm
net593,210.94µm
