Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_155_909,VPWR,li1,426.4200,432.4800,1.799964
FILLER_155_897,VPWR,li1,420.9000,432.4800,1.799964
FILLER_155_894,VPWR,li1,417.2200,432.4800,1.799964
FILLER_155_882,VPWR,li1,414.0000,432.4800,1.799964
FILLER_155_874,VPWR,li1,408.4800,432.4800,1.799964
FILLER_155_869,VPWR,li1,405.7200,432.4800,1.799964
FILLER_155_863,VPWR,li1,402.7300,432.4800,1.799964
FILLER_155_846,VPWR,li1,395.6000,432.4800,1.799964
FILLER_155_841,VPWR,li1,392.8400,432.4800,1.799965
FILLER_155_832,VPWR,li1,389.1600,432.4800,1.799966
FILLER_155_825,VPWR,li1,385.9400,432.4800,1.799966
FILLER_155_818,VPWR,li1,382.7200,432.4800,1.799967
FILLER_155_813,VPWR,li1,379.9600,432.4800,1.799967
FILLER_155_811,VPWR,li1,378.8100,432.4800,1.799968
FILLER_155_804,VPWR,li1,376.2800,432.4800,1.799969
FILLER_155_797,VPWR,li1,373.0600,432.4800,1.799969
FILLER_155_790,VPWR,li1,369.8400,432.4800,1.799970
FILLER_155_785,VPWR,li1,367.0800,432.4800,1.799970
FILLER_155_783,VPWR,li1,365.9300,432.4800,1.799971
FILLER_155_776,VPWR,li1,363.4000,432.4800,1.799972
FILLER_155_770,VPWR,li1,360.4100,432.4800,1.799973
FILLER_155_762,VPWR,li1,356.9600,432.4800,1.799973
FILLER_155_757,VPWR,li1,354.2000,432.4800,1.799974
FILLER_155_748,VPWR,li1,350.5200,432.4800,1.799975
FILLER_155_741,VPWR,li1,347.3000,432.4800,1.799976
FILLER_155_727,VPWR,li1,340.1700,432.4800,1.799978
FILLER_155_720,VPWR,li1,337.6400,432.4800,1.799980
FILLER_155_714,VPWR,li1,334.6500,432.4800,1.799981
FILLER_155_706,VPWR,li1,331.2000,432.4800,1.799982
FILLER_155_701,VPWR,li1,328.4400,432.4800,1.799982
FILLER_155_699,VPWR,li1,327.2900,432.4800,1.799982
FILLER_155_693,VPWR,li1,324.9900,432.4800,1.799979
FILLER_155_685,VPWR,li1,321.5400,432.4800,1.799975
FILLER_155_678,VPWR,li1,318.3200,432.4800,1.799972
FILLER_155_673,VPWR,li1,315.5600,432.4800,1.799969
FILLER_155_671,VPWR,li1,314.4100,432.4800,1.799969
FILLER_155_664,VPWR,li1,311.8800,432.4800,1.799967
FILLER_155_657,VPWR,li1,308.6600,432.4800,1.799963
FILLER_155_650,VPWR,li1,305.4400,432.4800,1.799961
FILLER_155_645,VPWR,li1,302.6800,432.4800,1.799957
FILLER_155_643,VPWR,li1,301.5300,432.4800,1.799957
FILLER_155_636,VPWR,li1,299.0000,432.4800,1.799955
FILLER_155_629,VPWR,li1,295.7800,432.4800,1.799951
FILLER_155_623,VPWR,li1,292.7900,432.4800,1.799949
FILLER_155_615,VPWR,li1,288.6500,432.4800,1.799945
FILLER_155_605,VPWR,li1,284.0500,432.4800,1.799942
FILLER_155_601,VPWR,li1,282.9000,432.4800,1.799940
FILLER_155_595,VPWR,li1,279.9100,432.4800,1.799939
FILLER_155_587,VPWR,li1,275.7700,432.4800,1.799936
FILLER_155_576,VPWR,li1,270.7100,432.4800,1.799933
FILLER_155_537,VPWR,li1,253.0000,432.4800,1.799924
FILLER_155_499,VPWR,li1,235.2900,432.4800,1.799922
FILLER_155_482,VPWR,li1,228.1600,432.4800,1.799925
FILLER_155_477,VPWR,li1,225.4000,432.4800,1.799926
FILLER_155_475,VPWR,li1,224.2500,432.4800,1.799927
FILLER_155_468,VPWR,li1,221.7200,432.4800,1.799929
FILLER_155_461,VPWR,li1,218.5000,432.4800,1.799931
FILLER_155_454,VPWR,li1,215.2800,432.4800,1.799933
